problem_id,slug,title,difficulty,acceptance,problem_url,source_keys,source_count,concepts,imported_at
143,reorder-list,Reorder List,Medium,65.2%,https://leetcode.com/problems/reorder-list/,blind-curated-75;neetcode-150,2,Linked List,2026-05-25
146,lru-cache,LRU Cache,Medium,47.3%,https://leetcode.com/problems/lru-cache/,coding-plan-deep-work;google-thirty-days;neetcode-150,3,Linked List,2026-05-25
150,evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,,https://leetcode.com/problems/evaluate-reverse-polish-notation/,neetcode-150,1,Stack,2026-05-25
152,maximum-product-subarray,Maximum Product Subarray,Medium,36.4%,https://leetcode.com/problems/maximum-product-subarray/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,1-D Dynamic Programming,2026-05-25
153,find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,54.7%,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Binary Search,2026-05-25
155,min-stack,Min Stack,Medium,58.1%,https://leetcode.com/problems/min-stack/,licc-bonus-stacks-and-queues;neetcode-150,2,Stack,2026-05-25
162,find-peak-element,Find Peak Element,Medium,,https://leetcode.com/problems/find-peak-element/,coding-plan-deep-work,1,,2026-05-17
167,two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,65.0%,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,google-thirty-days;neetcode-150,2,Two Pointers,2026-05-25
168,excel-sheet-column-title,Excel Sheet Column Title,Easy,46.5%,https://leetcode.com/problems/excel-sheet-column-title/,google-thirty-days,1,,2026-05-17
175,combine-two-tables,Combine Two Tables,Easy,79.5%,https://leetcode.com/problems/combine-two-tables/,google-thirty-days,1,,2026-05-17
176,second-highest-salary,Second Highest Salary,Medium,47.0%,https://leetcode.com/problems/second-highest-salary/,google-thirty-days,1,,2026-05-17
179,largest-number,Largest Number,Medium,43.0%,https://leetcode.com/problems/largest-number/,google-thirty-days,1,,2026-05-17
189,rotate-array,Rotate Array,Medium,44.9%,https://leetcode.com/problems/rotate-array/,google-thirty-days,1,,2026-05-17
190,reverse-bits,Reverse Bits,Easy,68.4%,https://leetcode.com/problems/reverse-bits/,blind-curated-75;google-thirty-days;neetcode-150,3,Bit Manipulation,2026-05-25
191,number-of-1-bits,Number of 1 Bits,Easy,76.8%,https://leetcode.com/problems/number-of-1-bits/,blind-curated-75;google-thirty-days;neetcode-150,3,Bit Manipulation,2026-05-25
197,rising-temperature,Rising Temperature,Easy,51.3%,https://leetcode.com/problems/rising-temperature/,google-thirty-days,1,,2026-05-17
198,house-robber,House Robber,Medium,53.2%,https://leetcode.com/problems/house-robber/,blind-curated-75;coding-plan-deep-work;google-thirty-days;classic-3-topics-dp;neetcode-150,5,1-D Dynamic Programming,2026-05-25
199,binary-tree-right-side-view,Binary Tree Right Side View,Medium,,https://leetcode.com/problems/binary-tree-right-side-view/,coding-plan-deep-work;neetcode-150,2,Trees,2026-05-25
200,number-of-islands,Number of Islands,Medium,64.4%,https://leetcode.com/problems/number-of-islands/,blind-curated-75;coding-plan-deep-work;meta-thirty-days;classic-3-topics-graph-tree;neetcode-150,5,Graphs,2026-05-25
202,happy-number,Happy Number,Easy,59.6%,https://leetcode.com/problems/happy-number/,google-thirty-days;neetcode-150,2,Math & Geometry,2026-05-25
204,count-primes,Count Primes,Medium,36.0%,https://leetcode.com/problems/count-primes/,google-thirty-days,1,,2026-05-17
205,isomorphic-strings,Isomorphic Strings,Easy,48.4%,https://leetcode.com/problems/isomorphic-strings/,licc-bonus-hashing,1,,2026-05-17
206,reverse-linked-list,Reverse Linked List,Easy,80.5%,https://leetcode.com/problems/reverse-linked-list/,blind-curated-75;neetcode-150,2,Linked List,2026-05-25
207,course-schedule,Course Schedule,Medium,51.4%,https://leetcode.com/problems/course-schedule/,blind-curated-75;coding-plan-deep-work;classic-3-topics-graph-tree;neetcode-150,4,Graphs,2026-05-25
208,implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,69.5%,https://leetcode.com/problems/implement-trie-prefix-tree/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Tries,2026-05-25
209,minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,51.6%,https://leetcode.com/problems/minimum-size-subarray-sum/,coding-plan-deep-work;licc-bonus-arrays-and-strings,2,,2026-05-17
210,course-schedule-ii,Course Schedule II,Medium,,https://leetcode.com/problems/course-schedule-ii/,coding-plan-deep-work;classic-3-topics-graph-tree;neetcode-150,3,Graphs,2026-05-25
211,design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,48.5%,https://leetcode.com/problems/design-add-and-search-words-data-structure/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Tries,2026-05-25
212,word-search-ii,Word Search II,Hard,38.4%,https://leetcode.com/problems/word-search-ii/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Tries,2026-05-25
213,house-robber-ii,House Robber II,Medium,44.9%,https://leetcode.com/problems/house-robber-ii/,blind-curated-75;google-thirty-days;licc-bonus-dp;classic-3-topics-dp;neetcode-150,5,1-D Dynamic Programming,2026-05-25
215,kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,https://leetcode.com/problems/kth-largest-element-in-an-array/,coding-plan-deep-work;google-thirty-days;neetcode-150,3,Heap / Priority Queue,2026-05-25
217,contains-duplicate,Contains Duplicate,Easy,64.3%,https://leetcode.com/problems/contains-duplicate/,blind-curated-75;google-thirty-days;licc-bonus-hashing;neetcode-150,4,Arrays & Hashing,2026-05-25
221,maximal-square,Maximal Square,Medium,50.3%,https://leetcode.com/problems/maximal-square/,licc-bonus-dp,1,,2026-05-17
222,count-complete-tree-nodes,Count Complete Tree Nodes,Easy,,https://leetcode.com/problems/count-complete-tree-nodes/,coding-plan-deep-work,1,,2026-05-17
224,basic-calculator,Basic Calculator,Hard,,https://leetcode.com/problems/basic-calculator/,coding-plan-deep-work,1,,2026-05-17
225,implement-stack-using-queues,Implement Stack using Queues,Easy,69.9%,https://leetcode.com/problems/implement-stack-using-queues/,licc-bonus-stacks-and-queues,1,,2026-05-17
226,invert-binary-tree,Invert Binary Tree,Easy,80.1%,https://leetcode.com/problems/invert-binary-tree/,blind-curated-75;google-thirty-days;neetcode-150,3,Trees,2026-05-25
230,kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,76.8%,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Trees,2026-05-25
231,power-of-two,Power of Two,Easy,50.1%,https://leetcode.com/problems/power-of-two/,google-thirty-days,1,,2026-05-17
232,implement-queue-using-stacks,Implement Queue using Stacks,Easy,69.8%,https://leetcode.com/problems/implement-queue-using-stacks/,licc-bonus-stacks-and-queues,1,,2026-05-17
235,lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,70.6%,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,blind-curated-75;neetcode-150,2,Trees,2026-05-25
236,lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,69.3%,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,coding-plan-deep-work;meta-thirty-days;classic-3-topics-graph-tree,3,,2026-05-17
238,product-of-array-except-self,Product of Array Except Self,Medium,68.9%,https://leetcode.com/problems/product-of-array-except-self/,blind-curated-75;google-thirty-days;meta-thirty-days;classic-3-topics-array-string;neetcode-150,5,Arrays & Hashing,2026-05-25
239,sliding-window-maximum,Sliding Window Maximum,Hard,,https://leetcode.com/problems/sliding-window-maximum/,coding-plan-deep-work;classic-3-topics-array-string;neetcode-150,3,Sliding Window,2026-05-25
240,search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,,https://leetcode.com/problems/search-a-2d-matrix-ii/,coding-plan-deep-work,1,,2026-05-17
242,valid-anagram,Valid Anagram,Easy,68.1%,https://leetcode.com/problems/valid-anagram/,blind-curated-75;neetcode-150,2,Arrays & Hashing,2026-05-25
252,meeting-rooms,Meeting Rooms,Easy,59.4%,https://leetcode.com/problems/meeting-rooms/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Intervals,2026-05-25
253,meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,https://leetcode.com/problems/meeting-rooms-ii/,blind-curated-75;coding-plan-deep-work;google-thirty-days;neetcode-150,4,Intervals,2026-05-25
261,graph-valid-tree,Graph Valid Tree,Medium,50.0%,https://leetcode.com/problems/graph-valid-tree/,blind-curated-75;neetcode-150,2,Graphs,2026-05-25
268,missing-number,Missing Number,Easy,72.0%,https://leetcode.com/problems/missing-number/,blind-curated-75;neetcode-150,2,Bit Manipulation,2026-05-25
269,alien-dictionary,Alien Dictionary,Hard,37.2%,https://leetcode.com/problems/alien-dictionary/,blind-curated-75;coding-plan-deep-work;classic-3-topics-graph-tree;neetcode-150,4,Advanced Graphs,2026-05-25
271,encode-and-decode-strings,Encode and Decode Strings,Medium,51.6%,https://leetcode.com/problems/encode-and-decode-strings/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Arrays & Hashing,2026-05-25
282,expression-add-operators,Expression Add Operators,Hard,,https://leetcode.com/problems/expression-add-operators/,coding-plan-deep-work,1,,2026-05-17
283,move-zeroes,Move Zeroes,Easy,63.8%,https://leetcode.com/problems/move-zeroes/,licc-bonus-arrays-and-strings,1,,2026-05-17
286,walls-and-gates,Walls and Gates,Medium,,https://leetcode.com/problems/walls-and-gates/,coding-plan-deep-work;neetcode-150,2,Graphs,2026-05-25
287,find-the-duplicate-number,Find the Duplicate Number,Medium,64.3%,https://leetcode.com/problems/find-the-duplicate-number/,google-thirty-days;neetcode-150,2,Linked List,2026-05-25
290,word-pattern,Word Pattern,Easy,44.1%,https://leetcode.com/problems/word-pattern/,licc-bonus-hashing,1,,2026-05-17
295,find-median-from-data-stream,Find Median from Data Stream,Hard,54.5%,https://leetcode.com/problems/find-median-from-data-stream/,blind-curated-75;coding-plan-deep-work;google-thirty-days;neetcode-150,4,Heap / Priority Queue,2026-05-25
297,serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,60.7%,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,blind-curated-75;coding-plan-deep-work;neetcode-150,3,Trees,2026-05-25
300,longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.4%,https://leetcode.com/problems/longest-increasing-subsequence/,blind-curated-75;coding-plan-deep-work;google-thirty-days;classic-3-topics-dp;neetcode-150,5,1-D Dynamic Programming,2026-05-25
301,remove-invalid-parentheses,Remove Invalid Parentheses,Hard,,https://leetcode.com/problems/remove-invalid-parentheses/,coding-plan-deep-work,1,,2026-05-17
303,range-sum-query-immutable,Range Sum Query - Immutable,Easy,72.1%,https://leetcode.com/problems/range-sum-query-immutable/,licc-bonus-arrays-and-strings,1,,2026-05-17
